x;y
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
AGO/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
SET/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
OUT/2023;5.5
