x;y
SET/22;-1.85
OUT/22;-4.46
NOV/22;-4.77
DEZ/22;2.18
JAN/23;-0.75
FEV/23;-0.32
MAR/23;-1.4
ABR/23;2.19
MAI/23;-1.82
JUN/23;0.65
JUL/23;-3.14
AGO/23;-1.12
SET/23;1.36
