x;y
JUL/22;9.1
AGO/22;8.9
SET/22;8.7
OUT/22;8.3
NOV/22;8.1
DEZ/22;7.9
JAN/23;8.4
FEV/23;8.6
MAR/23;8.8
ABR/23;8.5
MAI/23;8.3
JUN/23;8.0
JUL/23;7.9
