x;y
ABR/21;2.35
MAI/21;3.33
JUN/21;3.95
JUL/21;5.01
AGO/21;5.94
SET/21;7.21
OUT/21;8.45
NOV/21;9.36
DEZ/21;10.16
JAN/22;0.67
FEV/22;1.68
MAR/22;3.42
ABR/22;4.49
