x;y
AGO/22;-0.73
SET/22;-0.37
OUT/22;0.16
NOV/22;0.53
DEZ/22;0.52
JAN/23;0.55
FEV/23;0.76
MAR/23;0.69
ABR/23;0.57
MAI/23;0.51
JUN/23;0.04
JUL/23;-0.07
AGO/23;0.28
