x;y
SET/22;1.44
OUT/22;-3.22
NOV/22;-12.32
DEZ/22;-1.11
JAN/23;-9.92
FEV/23;8.39
MAR/23;0.35
ABR/23;0.58
MAI/23;3.09
JUN/23;9.77
JUL/23;-0.91
AGO/23;-3.47
SET/23;-0.42
