x;y
AGO/21;5876.05
SET/21;5944.21
OUT/21;6018.51
NOV/21;6075.69
DEZ/21;6120.04
JAN/22;6153.09
FEV/22;6215.24
MAR/22;6215.24
MAR/22;6215.24
MAR/22;6215.24
MAR/22;6215.24
MAR/22;6215.24
ABR/22;6215.24
